City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
108,Hithadhoo,MV,82.47,overcast clouds,-0.6,73.0833,Scoop Guest House
113,Caibarien,CU,87.12,few clouds,22.5206,-79.4669,La Nena
115,Victoria,HK,84.18,clear sky,22.2855,114.1577,Mini Central
121,Belmonte,BR,79.12,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
122,Paracuru,BR,80.11,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
131,Makakilo City,US,80.98,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
141,Port Blair,IN,78.71,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
143,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
145,Santo Antonio Do Ica,BR,87.73,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
148,Cockburn Town,TC,83.59,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
150,Tecoanapa,MX,84.54,few clouds,16.5167,-98.75,Hotel Manglares
152,Kununurra,AU,75.18,clear sky,-15.7667,128.7333,Hotel Kununurra
153,Sinnamary,GF,83.77,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
156,Prado,BR,78.96,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
164,Liku,ID,75.24,overcast clouds,-0.7275,119.8922,Kost annisa
167,Omboue,GA,76.6,few clouds,-1.5746,9.2618,Hotel Olako
174,Dzaoudzi,YT,75.09,clear sky,-12.7887,45.2699,Le Rocher
176,San Patricio,US,85.17,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
183,Dakar,SN,85.08,broken clouds,14.6937,-17.4441,Novotel Dakar
184,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
190,Manggar,ID,78.53,overcast clouds,-2.8833,108.2667,Guest Hotel
191,Ixtapa,MX,87.22,broken clouds,20.7,-105.2,hotel la terminal
194,Laguna,US,85.17,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
196,Praxedis Guerrero,MX,76.46,clear sky,31.3667,-106.0167,Congregación placitas de Otero
198,San Lorenzo,PY,86.94,clear sky,-25.3333,-57.5333,Canarias Hotel
199,Ipanguacu,BR,88.84,few clouds,-5.4983,-36.855,"Rua Manoel Lins Caldas, 47"
200,Bongor,TD,75.38,broken clouds,10.2806,15.3722,Oryx Palace
203,Gusau,NG,81.05,overcast clouds,12.1628,6.6614,GUEST INN
