City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Salinopolis,BR,-0.6136,-47.3561,83.28,68,72,12.93,broken clouds
107,Coahuayana,MX,18.7333,-103.6833,85.91,69,53,5.12,broken clouds
108,Hithadhoo,MV,-0.6,73.0833,82.47,70,100,17.09,overcast clouds
109,Vardo,NO,70.3705,31.1107,44.58,87,75,11.5,broken clouds
110,Ilo,PE,-17.6394,-71.3375,63.46,68,75,10.36,broken clouds
111,Pangnirtung,CA,66.1451,-65.7125,37.42,59,100,5.91,overcast clouds
112,Hobart,AU,-42.8794,147.3294,39.25,91,40,8.05,scattered clouds
113,Caibarien,CU,22.5206,-79.4669,87.12,57,14,7.4,few clouds
114,Upernavik,GL,72.7868,-56.1549,23.94,79,82,4.72,broken clouds
115,Victoria,HK,22.2855,114.1577,84.18,81,6,5.99,clear sky
116,Norman Wells,CA,65.282,-126.8329,37.44,87,75,16.11,broken clouds
117,Saint-Philippe,RE,-21.3585,55.7679,69.39,82,35,11.61,scattered clouds
118,Maridi,SS,4.9158,29.4742,67.12,96,100,1.74,light rain
119,Port Hardy,CA,50.6996,-127.4199,53.78,100,75,3.44,mist
120,Margate,GB,51.3813,1.3862,60.69,86,100,5.01,overcast clouds
121,Belmonte,BR,-15.8631,-38.8828,79.12,65,3,10.25,clear sky
122,Paracuru,BR,-3.41,-39.0306,80.11,64,98,15.1,overcast clouds
123,Fort Nelson,CA,58.8053,-122.7002,47.79,53,20,6.91,smoke
124,Carnarvon,AU,-24.8667,113.6333,66.72,67,0,12.93,clear sky
125,Ust-Kulom,RU,61.6864,53.6902,48.94,77,100,6.6,overcast clouds
126,Chicama,PE,-7.8447,-79.1469,61.34,60,27,11.21,scattered clouds
127,Tayga,RU,56.06,85.6197,38.32,82,98,5.41,overcast clouds
128,Hamilton,US,39.1834,-84.5333,72.91,34,0,4.61,clear sky
129,Roald,NO,62.5833,6.1333,54.91,93,75,13.8,light rain
130,Borisoglebskiy,RU,57.2586,39.1508,46.9,85,100,8.97,overcast clouds
131,Makakilo City,US,21.3469,-158.0858,80.98,68,75,11.5,broken clouds
132,Grootfontein,NA,-19.5667,18.1167,78.19,11,0,3.6,clear sky
133,Dikson,RU,73.5069,80.5464,33.89,88,100,19.64,overcast clouds
134,Radford,US,37.1318,-80.5764,63.64,40,40,12.66,scattered clouds
135,Teguldet,RU,57.3064,88.1667,32.05,81,100,4.9,overcast clouds
136,Belyy Yar,RU,53.6039,91.3903,26.49,80,8,4.47,clear sky
137,Chapais,CA,49.7834,-74.8492,49.78,99,100,4.12,overcast clouds
138,Wilhelmshaven,DE,53.5167,8.1333,57.99,71,100,12.33,overcast clouds
139,Mahebourg,MU,-20.4081,57.7,72.25,78,40,11.5,scattered clouds
140,Cody,US,44.5263,-109.0565,66.58,42,0,5.75,clear sky
141,Port Blair,IN,11.6667,92.75,78.71,86,100,3.71,overcast clouds
142,Krutikha,RU,53.9599,81.2093,37.9,63,99,5.03,overcast clouds
143,Kahului,US,20.8947,-156.47,82.42,77,40,18.41,scattered clouds
144,Beringovskiy,RU,63.05,179.3167,37.67,85,100,8.34,overcast clouds
145,Santo Antonio Do Ica,BR,-3.1022,-67.9397,87.73,65,95,1.63,overcast clouds
146,Asau,RO,46.4333,26.4,47.32,77,100,3.98,overcast clouds
147,Pacific Grove,US,36.6177,-121.9166,73.38,83,75,11.99,broken clouds
148,Cockburn Town,TC,21.4612,-71.1419,83.59,68,57,0.51,broken clouds
149,Mar Del Plata,AR,-38.0023,-57.5575,59.95,65,0,20.71,clear sky
150,Tecoanapa,MX,16.5167,-98.75,84.54,66,16,9.15,few clouds
151,Muros,ES,42.7762,-9.0603,65.16,84,24,3.33,few clouds
152,Kununurra,AU,-15.7667,128.7333,75.18,83,6,1.14,clear sky
153,Sinnamary,GF,5.3833,-52.95,83.77,70,56,13.96,broken clouds
154,Hualmay,PE,-11.0964,-77.6139,65.71,70,29,12.77,scattered clouds
155,Byron Bay,AU,-28.65,153.6167,54.95,79,100,2.57,overcast clouds
156,Prado,BR,-17.3411,-39.2208,78.96,67,35,16.15,scattered clouds
157,Fortuna,US,40.5982,-124.1573,59.67,66,90,6.38,overcast clouds
158,Malartic,CA,48.1335,-78.1328,64.02,70,86,5.39,overcast clouds
159,Saint-Augustin,CA,51.226,-58.6502,59.16,61,100,10.4,overcast clouds
